transition,source,destination,seed,sample,performanceSeconds,steps,occupiedFraction,activity,changeRate,centroidU,centroidV
05-connection-to-labyrinth,connection,labyrinth,11000033,11,60.000,11200,0.663574,1.470755e-2,2.988192e-5,0.5010,0.5008
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,0,5.000,4600,0.136940,3.008344e-3,6.822584e-5,0.4965,0.5015
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,1,10.000,5200,0.175903,3.887660e-3,8.008991e-5,0.4965,0.5021
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,2,15.000,5800,0.220963,4.860519e-3,8.344190e-5,0.4966,0.5024
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,3,20.000,6400,0.266659,5.883696e-3,9.616499e-5,0.4965,0.5015
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,4,25.000,7000,0.320007,7.050078e-3,1.092548e-4,0.4969,0.5016
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,5,30.000,7600,0.375004,8.289097e-3,1.178743e-4,0.4964,0.5015
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,6,35.000,8200,0.439583,9.699897e-3,1.313877e-4,0.4968,0.5019
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,7,40.000,8800,0.509380,1.122395e-2,1.444014e-4,0.4968,0.5014
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,8,45.000,9400,0.568066,1.247283e-2,1.036604e-4,0.4966,0.5010
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,9,50.000,10000,0.605381,1.329572e-2,7.708523e-5,0.4973,0.5007
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,10,55.000,10600,0.628807,1.380581e-2,5.183717e-5,0.4974,0.5009
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000011,11,60.000,11200,0.638596,1.401848e-2,2.882889e-5,0.4978,0.5003
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,0,5.000,4600,0.136902,3.003932e-3,6.878738e-5,0.4952,0.5018
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,1,10.000,5200,0.176067,3.891590e-3,7.996961e-5,0.4955,0.5019
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,2,15.000,5800,0.221531,4.857577e-3,8.432673e-5,0.4953,0.5021
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,3,20.000,6400,0.266907,5.891873e-3,9.779735e-5,0.4956,0.5021
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,4,25.000,7000,0.320831,7.065413e-3,1.091297e-4,0.4954,0.5016
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,5,30.000,7600,0.376511,8.322899e-3,1.203989e-4,0.4954,0.5016
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,6,35.000,8200,0.441132,9.716831e-3,1.290881e-4,0.4954,0.5018
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,7,40.000,8800,0.508099,1.120656e-2,1.458217e-4,0.4947,0.5022
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,8,45.000,9400,0.569263,1.250241e-2,1.045476e-4,0.4954,0.5013
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,9,50.000,10000,0.605724,1.331147e-2,7.656965e-5,0.4964,0.5009
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,10,55.000,10600,0.628906,1.382246e-2,5.031170e-5,0.4966,0.5002
06-labyrinth-to-overgrowth,labyrinth,overgrowth,11000022,11,60.000,11200,0.638706,1.402480e-2,2.811074e-5,0.4971,0.5000
